domain,scraped_at,id,name,image,status,urgency,special_case,class,since,gender,age,birthday,race,sice,weight,chip,situation,location,health,description
adamprotectora.org,2018-04-15 22:51:25.091608,714,Max,http://adamprotectora.org/imas/animales/_714/a_7141404750950.jpg,perdido,NO,NO,Gato,7-7-2014,Macho,4 años y 6 meses,10/2013,NA,Grande,NA,Si,NA,Barcelona (Barcelona),NA,GATO BLANCO PERDIDO
nuevavida-adopciones.org,2018-04-15 22:51:25.815497,10272,Otto,https://nuevavida-adopciones.org/imas/animales/_10272/a_102721512844185.jpg,en adopción,NO,NO,Gato,9-12-2017,Macho,1 año y 10 meses,6/2016,Común europeo,Mediano,NA,NA,NA,NA,Buena,"Otto, vivía en la calle con un compañero, a raíz del atropello de su amigo, fue rescatado para que no le pasara lo mismo. Es cariñoso y sociable."
adoptamics.org,2018-04-15 22:51:26.977796,450,Claus,http://adoptamics.org/imas/animales/_450/a_4501300434707.jpg,encontrado,NO,NO,Perro,18-3-2011,Macho,8 años y 4 meses,11/2009,Caniche,Pequeño,NA,NA,NA,Crevillente (Alicante),Buen estado de salud.,"Encontrado caniche blanco en la carretera de la garganta de Crevillente. Macho, de un año y medio aproximadamente. Lleva collar a manchas moradas. Apareció el 12-03-11 junto con una Husky que es del centro de Aspe y llevaba perdida 4 días."
asokaelgrande.org,2018-04-15 22:51:27.163658,8084,Cuco,http://asokaelgrande.org/imas/animales/_8084/a_80841508964293.jpg,en adopción,NO,NO,perros,8-4-2017,Macho,4 años,4/2014,Mestizo,Mediano,"18,40 KG",NA,NA,Alicante (Alicante),"Desparasitado, vacunado, castrado.","Mi nombre actual es Cuco, antes era ""fuera de aquí "", "" no vales para nada"" o "" te voy a matar""...Estoy literalmente hecho polvo, mi dueño esperaba con ansia mi muerte, pero como tardaba más de lo esperado decidió quitarme de en medio y me tiró por encima de la valla de un campo, así como si fuera basura. Me di un duro golpe en la caída pero lo más doloroso fue mi corazón que en ese instante se rompió en mil pedazos...¿por qué tantos perros acabamos en las peores manos? ¿por qué nacemos para vivir una vida horrible? ¿por qué confiamos en ellos a pesar de todo?"
adamprotectora.org,2018-04-15 22:51:28.665146,680,Wilson,http://adamprotectora.org/imas/animales/_680/a_6801405593667.jpg,perdido,NO,NO,Perro,11-4-2014,Macho,7 años y 3 meses,1/2011,X Beagle,Mediano,NA,Si,NA,Gavà (Barcelona),NA,WILSON DESAPARECIDO
nuevavida-adopciones.org,2018-04-15 22:51:29.503700,10273,Biggie,https://nuevavida-adopciones.org/imas/animales/_10273/a_102731512955002.jpg,en adopción,NO,NO,Perro,10-12-2017,Macho,1 año y 4 meses,12/2016,Cruce de Bodeguero,Mediano,NA,NA,Refugio,NA,Buena,Biggie disfruta mucho en el campo corriendo y no se cansa nunca. Le gusta estar con otros perros.
adoptamics.org,2018-04-15 22:51:29.796135,463,Maxi,http://adoptamics.org/imas/animales/_463/a_4631301378189.jpg,recuperado,NO,NO,Perro,28-3-2011,Macho,7 años,3/2011,Pomerania,Pequeño,NA,NA,NA,Novelda (Alicante),Buen estado de salud.,"Maxi es un precioso Pomerania que ha sido encontrado en el monte, en la zona de ""las peñas de Marín"" (Elda). Maxi estaba solito y desesperado, cuando vio que unos humanos aparecían en su camino se volvió loco de alegría, daba saltos y lametones sin parar. Creemos que ha pasado varios días perdido en el monte, ya que estaba sediento y hambriento, ahora solo quiere dormir y recuperarse del mal trago pasado."
adamprotectora.org,2018-04-15 22:51:31.204844,583,AKANE,http://adamprotectora.org/imas/animales/_583/a_5831377843833.jpg,perdido,NO,NO,Perro,20-8-2013,Hembra,6 años y 8 meses,8/2011,Sharpei,Mediano,NA,Si,NA,Santa Perpetua Mogoda (Barcelona),NA,SEGUIMOS SIN ENCONTRAR A AKANE
asokaelgrande.org,2018-04-15 22:51:31.377850,8248,Sámuel,http://asokaelgrande.org/imas/animales/_8248/a_82481518130193.jpg,en adopción,NO,NO,Gato,13-4-2017,Macho,1 año,3/2017,Común europeo,Mediano,NA,NA,NA,Alicante (Alicante),Desparasitado. Negativo Leucemia. Negativo VIF. Vacunado. Castrado.,"Sámuel forma parte de una camada de dos hermanitos más (Sofi y Sáimon) que fueron abandonados en las calles a su suerte, pensando que ellos solitos podrían buscarse la vida. Sámuel es casi gemelo de Sáimon, blanco y atigrado, además es un amorcete de gato, dulce, afable, alegre, cariñoso, mimosón y vivaracho que se pasa el día jugueteando con su mami de acogida y sus hermanitos para luego dormir como un angelito, abrazado a sus hermanos, imaginando un mundo mejor. Animaros a una adopción conjunta… dos hermanitos mejor que uno!!!"
nuevavida-adopciones.org,2018-04-15 22:51:33.622570,3865,Hommer (Tras),https://nuevavida-adopciones.org/imas/animales/_3865/a_38651510794031.jpg,en adopción,NO,NO,Perro,9-1-2013,Macho,6 años y 5 meses,11/2011,Cruce de Golden,Grande,NA,NA,Refugio,Madrid,NA,"A Hommer nos lo encontramos abandonado en el campo. Estaba muy asustado, por lo que lo más probable es que lo hayan maltratado. Aunque es un perro tímido y todavía le cuesta confiar en las personas, después de todo este tiempo conviviendo con nosotros y otros perretes en nuestro albergue, se ha dado cuenta de que los mimos y las caricias le encantan."
adoptamics.org,2018-04-15 22:51:34.003215,464,Golfo,http://adoptamics.org/imas/animales/_464/a_4641301488857.jpg,perdido,NO,NO,Perro,30-3-2011,Macho,8 años y 6 meses,9/2009,NA,Mediano,NA,NA,NA,Monforte y Pozoblanco (Alicante),NA,"Este perro llamado Golfo se perdió hace ya dos meses (enero 2011) por la zona de los embalses de Monforte y Pozoblanco. Es muy joven, tiene un año y medio."
nuevavida-adopciones.org,2018-04-15 22:51:35.735415,4337,Africa y Asia,https://nuevavida-adopciones.org/imas/animales/_4337/a_43371492427245.jpg,en adopción,SI,NO,Gato,1-7-2012,Hembra,5 años y 11 meses,5/2012,Cruce de Angora,Pequeño,NA,NA,NA,Madrid,Buena,"Africa y Asia nacieron en la calle...fueron adoptadas, pero ahora se quieren deshacer de ellas. Como siempre.... están muy contentos con ellas, pero hay otras prioridades. Se llevan muy bien, no paran de corretear y de jugar juntas. Son muy cariñosas y adorables."
adoptamics.org,2018-04-15 22:51:36.407598,482,Rubio,http://adoptamics.org/imas/animales/_482/a_4821303153017.jpg,perdido,NO,NO,Gato,7-4-2011,Macho,7 años y 11 meses,4/2010,Gato común rubio,Grande,NA,no,NA,Novelda (Alicante),Buen estado de salud.,"El día 9 de marzo cuando llevaban a este gato a esterilizar se abrió la puerta del transportín y se escapó justo en la puerta de la Clínica Veterinaria Salvador de Novelda. Es un macho de un año, rubio totalmente, muy grande con una cara redonda y ojos pequeños de color miel. Por favor, si alguien lo ve que me llame a cualquier hora."
asokaelgrande.org,2018-04-15 22:51:38.562031,6865,Encontrado en Av. Alcoy-Alicante,http://asokaelgrande.org/imas/animales/_6865/a_68651441280729.jpg,encontrado,SI,NO,Gato,30-8-2015,Macho,2 años y 7 meses,9/2015,común,Mediano,NA,NA,NA,Alicante,NA,"Hace unas dos semanas (a mediados de agosto) apareció un gato macho en la montaña que hay en el lateral del Obispado, Avenida de Alcoy, Alicante."
adamprotectora.org,2018-04-15 22:51:38.678822,701,Miquet,NA,recuperado,NO,NO,Gato,13-6-2014,Macho,3 años y 10 meses,6/2014,NA,Grande,NA,NA,NA,Barcelona (Barcelona),NA,MIQUET SE HA PERDIDO
nuevavida-adopciones.org,2018-04-15 22:51:39.901638,9346,Arabia,https://nuevavida-adopciones.org/imas/animales/_9346/a_93461505824092.jpg,en adopción,NO,NO,Perro,19-9-2017,Hembra,1 año y 7 meses,9/2016,Mestizo,Mediano,18kg,NA,NA,NA,Buena,NA
adamprotectora.org,2018-04-15 22:51:42.252009,704,Emi,http://adamprotectora.org/imas/animales/_704/a_7041403768425.jpg,perdido,NO,NO,Perro,26-6-2014,Hembra,3 años y 9 meses,6/2014,NA,Grande,NA,Si,NA,Manresa (Barcelona),NA,PERDIDA EMI
asokaelgrande.org,2018-04-15 22:51:42.963861,6882,Luisito,NA,recuperado,NO,NO,perros,5-9-2015,Macho,7 años y 7 meses,9/2010,Mestizo,Pequeño,4'6 kg,NA,NA,Alicante (Alicante),"Desparasitado, vacunado","Luisito vagaba solo por el campo, desnutrido, sucio, lleno de bichos...terrible."
nuevavida-adopciones.org,2018-04-15 22:51:43.741222,7427,Paco,https://nuevavida-adopciones.org/imas/animales/_7427/a_74271466033851.jpg,en adopción,NO,NO,Perro,5-2-2015,Macho,11 años y 2 meses,2/2007,Cruce de Baset Hound,Mediano,20kg,NA,Refugio,NA,Buena,"Paco es un perrito adulto muy bueno y cariñoso, es miedoso como muchos perritos pero es un encanto de perro que necesita una familia que le adopte y le quiera,no es de esos perros que entran por los ojos pero sera un perro fiel,mimoso de esos que se mueren por que solo se paren en su jaula y le saluden , dale una oportunida y conocele no te arrepentiras."
adoptamics.org,2018-04-15 22:51:44.241303,406,Guapo,http://adoptamics.org/imas/animales/_406/a_4061296218266.jpg,encontrado,NO,NO,Gato,28-1-2011,Macho,9 años y 7 meses,8/2008,Gato común europeo,Grande,7 kilos,NA,NA,Novelda (Alicante),Buen estado de salud. Esterilizado.,FOTOS DE LA 1 A LA 8 REALIZADAS EL 27-01-11.
adamprotectora.org,2018-04-15 22:51:46.867034,705,Kurt,http://adamprotectora.org/imas/animales/_705/a_7051403769047.jpg,perdido,NO,NO,Gato,26-6-2014,Macho,3 años y 9 meses,6/2014,NA,Mediano,NA,Si,NA,Sant Andreu de la barca,NA,KURT HA DESAPARECIDO
asokaelgrande.org,2018-04-15 22:51:47.085544,6883,Encontrada en San Juan Pueblo,http://asokaelgrande.org/imas/animales/_6883/a_68831441978348.jpg,encontrado,SI,NO,Gato,9-9-2015,Hembra,2 años y 7 meses,9/2015,Común,Mediano,NA,NA,NA,San Juan Pueblo (Alicante),NA,"Hola, he encontrado esta gata en San Juan pueblo, debe estar perdida. Es muy casera."
nuevavida-adopciones.org,2018-04-15 22:51:47.342635,10250,Dulce,https://nuevavida-adopciones.org/imas/animales/_10250/a_102501511874668.jpg,en adopción,NO,NO,Perro,28-11-2017,Hembra,4 años y 7 meses,8/2013,Cruce American Staffordshire Terrier,Mediano,22kg,NA,NA,NA,Buena,"Dulce estaba abandonada en la calle y un amante de los animales se la llevo a casa, ahora busca un hogar para ella. Es muy muy cariñosa y obediente y se lleva bien con otros perros."
adoptamics.org,2018-04-15 22:51:47.716846,416,Alma,http://adoptamics.org/imas/animales/_416/a_4161297353587.jpg,perdido,NO,NO,Perro,10-2-2011,Hembra,7 años y 2 meses,2/2011,Bulldog francesa,Pequeño,NA,NA,NA,Petrer (Alicante),NA,"Es una bulldog francesa de 4 años, tipo vaca. responde al nombre de Alma. Tiene microchip, pasaporte y pedegree loce. Se perdió por el barrio San José de Petrer el pasado 7 de febrero entre las 20:30 y las 21:30"
adamprotectora.org,2018-04-15 22:51:49.984270,706,NA,http://adamprotectora.org/imas/animales/_706/a_7061404040054.jpg,recuperado,NO,NO,Perro,29-6-2014,Macho,3 años y 9 meses,6/2014,NA,Pequeño,NA,No,NA,El Masnou (Barcelona),NA,"Recogido sin chip. Si alguien conoce a sus dueños, rogamos se sirvan llamar al teléfono 650 796 050."
asokaelgrande.org,2018-04-15 22:51:50.397447,6904,Taurus (Kaiser),NA,recuperado,NO,NO,perros,9-9-2015,Macho,4 años y 7 meses,9/2013,American Sttafordshire,Mediano,22'5 kg,NA,NA,Alicante (Alicante),Desparasitado,Taurus (Kaiser) es un perro vigoroso y fuerte pero dócil.
nuevavida-adopciones.org,2018-04-15 22:51:51.802286,2981,Cratos,https://nuevavida-adopciones.org/imas/animales/_2981/a_29811374340661.jpg,en adopción,SI,NO,Perro,7-7-2011,Macho,7 años,3/2011,Cruce de Pastor Aleman,Grande,NA,NA,Residencia,Madrid,NA,"Fue fruto de una camada no deseada, no pueden cuidar de él.Necesita casa de acogida o adopción!!"
adamprotectora.org,2018-04-15 22:51:52.039722,711,Drac,http://adamprotectora.org/imas/animales/_711/a_7111404401757.jpg,perdido,NO,NO,Perro,3-7-2014,Macho,3 años y 9 meses,7/2014,NA,Grande,NA,Si,NA,Arenys de Munt (Barcelona),NA,BUSCAMOS A DRAC
adoptamics.org,2018-04-15 22:51:52.171246,419,Yayo,http://adoptamics.org/imas/animales/_419/a_4191297357109.jpg,encontrado,SI,NO,Perro,10-2-2011,Macho,19 años y 8 meses,8/1998,"Mestizo, ratonero",Pequeño,NA,NA,NA,Novelda (Alicante),Buen estado de salud.,Este perro al que hemos llamado Yayo fue encontrado en el Barrio de la Vereda de Novelda. Estuvo deambulando todo un día por este barrio noveldense y daba la sensación de estar muy desorientado por lo que creemos que tiene dueño.
asokaelgrande.org,2018-04-15 22:51:53.503786,6905,Chica,NA,recuperado,NO,NO,perros,13-9-2015,Hembra,4 años y 7 meses,9/2013,Mestiza,Pequeño,9 kg,NA,NA,Alicante (Alicante),Desparasitada,Recogida de Altea junto a Chato
nuevavida-adopciones.org,2018-04-15 22:51:55.222971,10070,Enzo,https://nuevavida-adopciones.org/imas/animales/_10070/a_100701506986204.jpg,en adopción,NO,NO,Perro,3-10-2017,Macho,10 meses y 23 días,5/2017,Mestizo,Mediano,NA,NA,Refugio,NA,Buena,Enzo y Gadir fueron encontrados juntos y abandonados en un pueblo de Toledo. Son muy cariñosos y están
adoptamics.org,2018-04-15 22:51:55.283511,432,Chica,http://adoptamics.org/imas/animales/_432/a_4321298994138.jpg,perdido,SI,NO,Perro,1-3-2011,Hembra,9 años y 1 mes,3/2009,Mestiza,Pequeño,NA,sí,NA,La Romana (Alicante),Esterilizada y con microchip.,Perra perdida de color blanco. Responde al nombre de Chica o Blanquita. Está esterilizada y lleva microchip. Tiene una oreja más grande que la otra.
adamprotectora.org,2018-04-15 22:51:59.426747,695,Atila,http://adamprotectora.org/imas/animales/_695/a_6951401288153.jpg,recuperado,NO,NO,Perro,28-5-2014,Macho,3 años y 10 meses,5/2014,NA,Pequeño,NA,NA,NA,El Masnou (Barcelona),NA,"Recogido en Masnou en el día de hoy, 28 de mayo."
nuevavida-adopciones.org,2018-04-15 22:51:59.464239,5352,Chaqui,https://nuevavida-adopciones.org/imas/animales/_5352/a_53521381699376.jpg,en adopción,SI,NO,Perro,19-3-2013,Macho,7 años,3/2011,Cruce de pastor belga,Mediano,24kg,NA,Refugio,(Madrid),Buena. Vacunado ¡¡¡¡NECESITA CASA DE ACOGIDA URGENTE!!! URGENTE!! ****ACÓGELO***,Hoy os quiero contar sobre chaqui.
adoptamics.org,2018-04-15 22:51:59.673139,433,Yako,http://adoptamics.org/imas/animales/_433/a_4331298995077.jpg,perdido,SI,NO,Perro,1-3-2011,Macho,9 años y 1 mes,3/2009,Mastín,Grande,NA,sí,NA,La Romana (Alicante),Esterilizado y con microchip.,Este perro que responde al nombre de Yako es un mastín de unos dos años de edad. Tiene chip y está esterilizado.
asokaelgrande.org,2018-04-15 22:52:01.475730,8019,Tino,http://asokaelgrande.org/imas/animales/_8019/a_80191487444213.jpg,en adopción,NO,NO,Gato,21-1-2017,Macho,10 años y 3 meses,1/2008,Común europeo,Mediano,NA,NA,NA,Alicante (Alicante),Desparasitado. Positivo Leucemia. Negativo VIF. Castrado. Vacunado.,"Tino es un gato que vivía en una colonia controlada de Tavernes durante 8-9 años, lo que le ha costado perder un ojo, dientes, un mordisco en una de sus patitas y dar positivo a leucemia… Las calles son duras, muy duras, incluso si hay personas de gran corazón que los alimentan, los cuidan y los llevan a los veterinarios. Sus cuidadoras siempre han luchado por él, nunca se han dado por vencidas a pesar de que le aconsejaron dormirlo, pero sabían que así no podía regresar a la colonia porque no sobreviviría y se estaban dando de bruces con la terrible realidad… ¿quién va a querer un gatito al que el falta un ojo, negro y positivo a leucemia? Por eso contactaron con nosotros, para poder ofrecerle una alternativa, una oportunidad de vivir dignamente y por supuesto para seguir luchando por él y encontrarle un buen hogar. Tino, a pesar de todo lo que ha sufrido, es un gato bueno, cariñoso, bonachón, tranquilo, afable, quizá un poco tímido al principio, pero sigue confiando en el ser humano ciegamente, y en seguida se deja mimar y te regala sus ronroneos. Ahora mismo, se encuentra en una de nuestras maravillosas casas de acogida junto a otros compañeros gatunos positivos, donde por fin ha conocido lo que es vivir calentito en invierno o dormir en un sofá. Por favor, no dejéis de lado a Tino, olvidad los prejuicios, y sobretodo que no vuelva a sentirse discriminado por ser negro, positivo y que le falte un ojito, porque todo eso, lo hace aún más especial, aún más increíble, aún más extraordinario. Dadle una oportunidad, ofrecedle vuestro hogar y vuestro corazón, porque él nunca, nunca os fallará. Un positivo en vuestras vidas y seréis felices los dos!!!"
adamprotectora.org,2018-04-15 22:52:02.603210,696,Jana,http://adamprotectora.org/imas/animales/_696/a_6961401356328.jpg,perdido,NO,NO,Perro,29-5-2014,Hembra,12 años y 11 meses,5/2005,Mastín,Grande,NA,Si,NA,Terres del Elbre (Tarragona),NA,PERDIDA MASTIN
nuevavida-adopciones.org,2018-04-15 22:52:03.570710,9986,Leo,https://nuevavida-adopciones.org/imas/animales/_9986/a_99861513560601.jpg,en adopción,SI,NO,Perro,25-8-2017,Macho,5 años y 1 mes,2/2013,Mestizo,Mediano,NA,NA,Refugio,NA,Buena,"Leo conoce el abandono de primera mano, fue rescatado de la perrera por su mami que, después de estar con ella durante un año, por problemas de salud que la impedían seguir teniéndolo, tuvimos que recogerlo..., pero no había ninguna casa de acogida para él por lo que debimos llevarlo al albergue... Después de conocer el calor del hogar se vio de nuevo en un chenil que, aunque el refugio no es lo mismo que una perrera, no tiene nada que ver con una casa y una familia... Lo está pasando muy mal, ha visto como sus mejores amigos, entre ellos Neo, han ido saliendo y él continúa allí, después de haber vivido feliz todos estos meses, se ve abandonado de nuevo. Urge acogida o adopción para este pequeño, que no pase unas Navidades frías y solitarias"
adoptamics.org,2018-04-15 22:52:05.775336,395,Duque,http://adoptamics.org/imas/animales/_395/a_3951294860835.jpg,perdido,SI,NO,Perro,12-1-2011,Macho,9 años y 3 meses,1/2009,Cruce de mastín,Grande,NA,NA,NA,Aspe (Alicante),Buen estado de salud.,"Se ha perdido un cruce de mastín de dos años aproximadamente, no lleva el chip pero tiene todas las vacunas en orden. Se perdió el día 21/12/2010 por el Tolomó alto ( entre Aspe y Hondón de las Nieves). Es un perro grande, blanco con manchas naranjas. Es muy cariñoso, chupón, le encanta jugar con la pelota, es inofensivo y no le gusta estar solo. Responde al nombre de Duque y tenemos muchisimas ganas de volver a verle."
asokaelgrande.org,2018-04-15 22:52:05.889368,8021,Koko,http://asokaelgrande.org/imas/animales/_8021/a_80211494876115.jpg,en adopción,NO,NO,Gato,27-1-2017,Macho,8 años y 1 mes,2/2010,Común europeo,Mediano,NA,NA,NA,Alicante (Alicante),Desparasitado. Positivo Leucemia. Positivo VIF. Castrado.,"Koko es un bellezón de gato de color blanco que llegó al albergue plagado de pulgas y parásitos, fruto de su vagabundeo por las basuras de la calle para encontrar algo con lo que alimentarse, y por lo que también le tuvieron que rapar su precioso pelaje. Como consecuencia de su andadura callejera ha dado doble positivo (leucemia y VIF), y este dato será el que condicione su vida y hará que se olviden de sus otras maravillosas cualidades: un gato bueno, mimoso, tierno, simpático, sociable, amable, al que le encanta dormir largas siestas al solete o sobe el regazo de su mami de acogida. Sabemos que es difícil pero ni él ni nosotros vamos a perder la esperanza, vamos a seguir luchando y buscando una familia que lo quiera tal y como es, sin discriminarlo y ofreciéndole todo su amor. Os lo decimos siempre, poned un positivo en vuestras vidas!!"
nuevavida-adopciones.org,2018-04-15 22:52:06.219208,3866,Frodo (Tris),https://nuevavida-adopciones.org/imas/animales/_3866/a_38661510794826.jpg,en adopción,NO,NO,Perro,16-2-2013,Macho,6 años y 5 meses,11/2011,Cruce de labrador,Mediano,NA,NA,Refugio,NA,Mi/R,"Frodo fue encontrado abandonado en el campo junto a sus hermanos, cuando sólo era un cachorrete. Ahora está conviviendo con otros amigos perrunos en el albergue, donde le encanta recibir caricias y mimos por parte de nosotros. Le cuesta mucho coger confianza en el ser humano, es muy tímido, pero con paciencia, trabajo y cariño se convertirá en tu mejor amigo."
adamprotectora.org,2018-04-15 22:52:06.586863,698,Ringo,http://adamprotectora.org/imas/animales/_698/a_6981402415848.jpg,recuperado,NO,NO,Perro,10-6-2014,Macho,3 años y 10 meses,6/2014,NA,Grande,NA,NA,NA,El Masnou (Barcelona),NA,Estan buscant a Ringo.
adoptamics.org,2018-04-15 22:52:08.282653,143,Kiwi,http://adoptamics.org/imas/animales/_143/a_1431269360074.jpg,perdido,NO,NO,Perro,19-1-2011,Macho,8 años y 10 meses,6/2009,NA,Pequeño,NA,sí,NA,Novelda (Alicante),Buen estado de salud. Desparasitado.,Kiwi se perdió el 19 de enero. Lleva el chip puesto.
adamprotectora.org,2018-04-15 22:52:09.412751,699,X Pastor,http://adamprotectora.org/imas/animales/_699/a_6991402671340.jpg,perdido,NO,NO,Perro,13-6-2014,Hembra,3 años y 10 meses,6/2014,NA,Mediano,NA,Si,NA,Barcelona (Barcelona),NA,PERRITA PERDIDA
asokaelgrande.org,2018-04-15 22:52:09.697580,8034,Mascarina,http://asokaelgrande.org/imas/animales/_8034/a_80341496680193.jpg,en adopción,NO,NO,Gato,20-2-2017,Hembra,2 años y 11 meses,5/2015,Común europeo,Mediano,NA,NA,NA,Alicante (Alicante),Desparasitada. Positiva Leucemia. Negativa VIF. Esterilizada. Vacunada.,"Mascarina vivía en una colonia controlada por una señora, donde la alimentaban y cuidaban a diario, pero un día empezó a ponerse malita y la llevaron al veterinario para ver que le sucedía. Allí dio positiva a leucemia, y estuvo ingresada durante tres meses hasta que fue recuperándose para ingresar en el albergue porque a la colonia no podía regresar. Ahora mismo se encuentra en una casa de acogida, porque tuvo una recaída y está recuperándose. Su mami nos cuenta que llegó asustada y desubicada, pues en muy poco tiempo ha cambiado de ubicación varias veces, pero que en cuestión de unos días ha vuelto a ser la vaquita sociable de siempre, que se dejaba acariciar y se restregaba por las piernas de las personas cuando vivía en su colonia. Además, se lleva estupendamente bien con sus hermanos perrunos, pasea junto a ellos por el jardín, los lame y se deja lavar por ellos!!! Ahora es solo cuestión de tiempo que termine de restablecerse, pero seguro que queda muy poquito para ello porque ya le ha cambiado hasta la mirada... sus ojazos verdes brillan como nunca!!! Dadle una oportunidad, olvidad los prejuicios que existen, ofrecedle vuestro hogar y vuestro corazón, porque ella no os fallará y os hará muy felices."
adoptamics.org,2018-04-15 22:52:10.190890,402,Tona,http://adoptamics.org/imas/animales/_402/a_4021295895819.jpg,encontrado,NO,NO,Perro,24-1-2011,Hembra,8 años,3/2010,Bretona,Mediano,15 kilos aproximadamente,NA,NA,Novelda (Alicante),Buen estado de salud.,FOTOS DE LA 1 A LA 7 REALIZADAS EL 24-01-11.
nuevavida-adopciones.org,2018-04-15 22:52:10.580091,10001,Marilyn/Melisa,https://nuevavida-adopciones.org/imas/animales/_10001/a_100011508370443.jpg,en adopción,NO,NO,Perro,31-8-2017,Hembra,3 años y 6 meses,10/2014,Mestizo,Mediano,25kg,NA,Refugio,NA,Buena,"Melisa fue encontrada abandonada en una gasolinera por Andalucía, con otro perrito que desgraciadamente fue atropellado. Tuvo cachorros, pero desaparecieron todos. Aunque es un poco sumisa cuando no conoce, es muy cariñosa, sociable y buena en cuanto coge confianza. Pasea perfectamente con correa y se lleva muy bien con"
adamprotectora.org,2018-04-15 22:52:12.959621,700,NA,http://adamprotectora.org/imas/animales/_700/a_7001402672220.jpg,perdido,NO,NO,Perro,13-6-2014,Hembra,6 años y 4 meses,12/2011,Pachón Navarro,Grande,NA,Si,NA,Santa Eulalia Ronçana (Barcelona),NA,PERDIDA EN SANTA EULALIA DE RONÇANA
asokaelgrande.org,2018-04-15 22:52:13.310270,8047,Chuchin,http://asokaelgrande.org/imas/animales/_8047/a_80471516050626.jpg,en adopción,NO,NO,perros,11-3-2017,Macho,5 años y 11 meses,5/2012,Podenco,Mediano,NA,NA,NA,Alicante (Alicante),"Desparasitado, vacunado, castrado.","Chuchin es un claro ejemplo de familia que quiere un cachorro en lugar de un adulto con la excusa de educarlo desde bebe pero cuando las cosas salen mal tarde o temprano termina en abandono. No todo el mundo tiene el tiempo, la experiencia y los conocimientos necesarios para educar desde cachorro, y muchos cachorros no son nada fáciles.Chuchin tiene inseguridades, miedos y frustraciones que su familia anterior no consiguió manejar y por eso necesita un dueño con experiencia que quiera empezar desde cero y pueda dedicarle tiempo para cubrir sus necesidades y que sea un perro cien por cien equilibrado."
adoptamics.org,2018-04-15 22:52:13.404960,404,Lira,http://adoptamics.org/imas/animales/_404/a_4041295971840.jpg,perdido,NO,NO,Perro,25-1-2011,Hembra,8 años y 2 meses,1/2010,NA,Pequeño,NA,NA,NA,"Urbanización Valverde Alto, Elche (Alicante)",NA,Se nos ha perdido esta perrita y las últimas noticias que tenemos es que la vieron ayer sobre las 3 de la tarde aproximadamente por la zona de la gasolinera del Altet... Si alguien sabe algo por favor que contacte con los números de teléfono que salen en la fotografía.
nuevavida-adopciones.org,2018-04-15 22:52:14.213351,9455,JR,https://nuevavida-adopciones.org/imas/animales/_9455/a_94551485127919.jpg,en adopción,NO,NO,Gato,23-1-2017,Macho,2 años y 8 meses,7/2015,Común europeo,Mediano,NA,NA,NA,NA,"Buena: desparasitado, vacunado, esterilizado y chip.","Por motivos ajenos a la voluntad de su dueño, JR necesita encontrar urgentemente un nuevo hogar donde pueda hacer feliz a su nueva familia. Al fallecer su madre a la semana de haber parido, su dueño le inventó una papilla y lo fue alimentando cada dos horas con una pequeña jeringuilla. Tiene muy buen carácter. Es inteligente e independiente, aunque le encanta acercarse a la gente para recibir mimos y caricias. Es dócil y noble. No muerde, ni destroza ni araña ya que su dueño nunca incentivó ese tipo de comportamientos. JR es un gatito joven y muy guapo que aún tiene mucho amor que dar a quien pueda adoptarlo."
asokaelgrande.org,2018-04-15 22:52:15.715618,8049,Kyra,http://asokaelgrande.org/imas/animales/_8049/a_80491509746311.jpg,en adopción,NO,NO,perros,13-3-2017,Hembra,8 años,4/2010,American Staffordshire,Mediano,"27,9 KG",NA,NA,Alicante (Alicante),"Desparasitada, vacunada y esterilizada.","Kira después de casi 7 años viviendo en familia fue dejada en nuestro albergue por problemas ajenos a ella. Las primeras semanas no paraba de llorar no entendía lo que pasaba, empezó a animarse gracias a su compañero de jaula Dogo, con el que se lleva muy bien. Es una perra muy buena, tranquila y sociable."
adoptamics.org,2018-04-15 22:52:17.694344,405,McFlay,http://adoptamics.org/imas/animales/_405/a_4051295972559.jpg,perdido,NO,NO,Perro,25-1-2011,Macho,8 años y 2 meses,1/2010,Cruce de pastor alemán,Mediano,NA,NA,NA,Carretera Aspe-Elche (Alicante),En la ceja izquierda tiene una pequeña costra de una herida que se hizo hace dos semanas jugando con su madre.,"Hace cosa de una semana que se escapó mi perro McFly (más o menos la semana del 17 de enero). Lo he buscado por toda la zona de alrededor, albergues de animales, campos y no he logrado encontrarlo. Lo que más temo es que lo hayan atropellado. Vivo en un campo, a las afueras de Elche dirección Aspe, junto a la estación ITV."
nuevavida-adopciones.org,2018-04-15 22:52:18.279241,9453,Ronrrón,https://nuevavida-adopciones.org/imas/animales/_9453/a_94531485104834.jpg,en adopción,SI,NO,Gato,22-1-2017,Macho,9 años y 2 meses,1/2009,Común europeo,Mediano,NA,NA,Casa de acogida,NA,"Buena: desparasitado, vacunado y chip.","Por motivos ajenos a la voluntad de su dueño, Ronrrón busca nuevo hogar urgentemente. Su nombre le viene dado porque desde muy pequeño ronroneaba de manera exagerada cuando lo cogían en brazos. Es sociable con perros y otros gatos. Es muy tranquilo, de carácter afable y cariñoso. Le encanta ponerse entre las piernas de la gente para que le acaricien. Es guapísimo y necesita encontrar un nuevo hogar donde le den mimos y todas las atenciones que, hasta el día de hoy, le viene ofreciendo su familia actual."
